IDDesfecho,IDsOcorrenciasAssociadas,DataDoDesfecho,TipoDeDesfecho,FoiDesfechoValido,FonteDoDesfecho,BaseParaDesfecho,Bairro,Zona,Cidade,Estado,TextoRelatorioDesfecho,LegendaDoDesfecho,ResumoOcorrencia,PodeDivulgar
24459362314,2285649202,2020-09-25,Inocente,Sim,,Somente Matéria,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26049601381,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26086627332,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
24464261243,2285649202,2020-12-25,Inocente,Sim,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086627213,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26049601374,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26049601401,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26086627245,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26086627234,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26086627233,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26049601400,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26086627216,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26086627334,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26086627255,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26086627230,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26049601398,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26086627336,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26086627241,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26086627221,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26086627248,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
26086627251,2285649202,2020-12-25,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,Sim
25611093040,2285603890,2021-06-13,Indiciado,Sim,,Somente Ofício,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
24459362640,2285649202,2021-06-17,Inocente,Sim,,Somente Matéria,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
25629818185,2285611441,2021-06-25,Indiciado,Sim,,Ofício + Link da Matéria,Ipanema,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
25629818226,2285611441,2021-06-25,Indiciado,Sim,Mídia,Ofício + Link da Matéria,Ipanema,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
25629818221,2285611441,2021-06-25,Indiciado,Sim,,Ofício + Link da Matéria,Ipanema,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086627186,2285673106,2021-07-03,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086627193,2285673106,2021-07-03,Indiciado,Não,,Nada,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
25629817149,2285602373,2021-08-11,Indiciado,Sim,,Ofício + Link da Matéria,Ipiranga,São Paulo - Zona Sul,São Paulo,SP,,,,
25564306761,2285653356,2021-08-15,Indiciado,Sim,,Ofício + Link da Matéria,Lagoa,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
25564306761,2285653356,2021-08-15,Indiciado,Sim,,Ofício + Link da Matéria,Ipanema,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086627133,2285659987,2021-08-25,Indiciado,Sim,,Ofício + Link da Matéria,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26049601290,2285659987,2021-08-25,Indiciado,Sim,,Ofício + Link da Matéria,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26049601290,2285659987,2021-08-25,Indiciado,Sim,,Ofício + Link da Matéria,São Conrado,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086627133,2285659987,2021-08-25,Indiciado,Sim,,Ofício + Link da Matéria,São Conrado,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086626965,2285608376,2021-09-12,Indiciado,Sim,,Somente Ofício,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086626965,2285608376,2021-09-12,Indiciado,Sim,,Somente Ofício,São Conrado,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086626934,2285608376,2021-09-12,Indiciado,Sim,,Somente Ofício,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086626959,2285608376,2021-09-12,Indiciado,Sim,,Somente Ofício,São Conrado,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086626959,2285608376,2021-09-12,Indiciado,Sim,,Somente Ofício,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086626962,2285608376,2021-09-12,Indiciado,Sim,,Somente Ofício,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086626962,2285608376,2021-09-12,Indiciado,Sim,,Somente Ofício,São Conrado,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086626934,2285608376,2021-09-12,Indiciado,Sim,,Somente Ofício,São Conrado,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26049601040,2285611787,2021-09-28,Indiciado,Sim,,Somente Ofício,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086626846,2285644863,2021-09-30,Indiciado,Sim,,Somente Ofício,Leblon,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26049597539,2285666376,2021-10-13,Indiciado,Sim,,Somente Ofício,Ipanema,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086624146,2285664789,2021-10-23,Indiciado,Sim,,Somente Ofício,Lagoa,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26049598388,2285664789,2021-10-23,Indiciado,Sim,,Somente Ofício,Lagoa,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
26086623593,2285670916,2021-10-26,Indiciado,Sim,,Somente Ofício,Ipanema,Rio de Janeiro - Zona Sul,Rio de Janeiro,RJ,,,,
