IDOcorrencia,IDLocal
2285667625,48
2285667625,17
2285659987,101
2285659987,94
2285659987,86
2285659987,76
2285659987,96
2285672086,108
2285672086,18
2285672086,3
2285672086,117
2285672086,883
2285671284,3
2285652768,35
2285608376,22
2285608376,94
2285608376,128
2285608376,14
2285608376,49
2285608376,12
2285608376,109
2285608376,30
2285608376,1
2285608376,116
2285608376,17
2285662797,131
2285662797,95
2285667105,104
2285613987,7
2285613987,18
2285613987,12
2285613987,69
2285613987,48
2285664179,36
2285613987,116
2285613987,50
2285613987,17
2285662796,106
2285665845,7
2285665845,18
2285665845,69
2285665845,50
2285599635,129
2285611787,98
2285611787,7
2285665851,95
2285599635,95
2285644863,42
2285675669,4
2285675669,22
2285675669,12
2285675669,113
2285675669,48
2285675669,55
2285675669,30
2285675669,17
2285635885,92
2285665847,22
2285665847,117
2285605937,105
2285602374,90
2285610888,101
2285659986,101
2285610888,52
2285610888,24
2285659986,24
2285654713,147
2285654713,72
2285654713,27
2285654713,113
2285602369,101
2285602369,55
2285664172,157
2285603888,95
2285661347,131
2285670916,113
2285670916,24
2285660503,134
2285658890,8
2285640768,8
2285640768,134
2285661349,22
2285673506,78
2285667621,101
2285649921,81
2285598069,90
2285664781,100
2285664781,182
2285649923,98
2285649923,7
2285649482,75
2285646637,122
2285667618,87
2285667618,90
2285667618,113
2285662501,113
2285667618,36
2285667618,55
2285662501,52
2285667618,24
2285651118,181
2285635880,4
2285635880,147
2285660504,72
2285635880,13
2285635880,7
2285645726,7
2285645726,118
2285635880,118
2285635880,279
2285635880,3
2285645726,3
2285645726,69
2285645726,90
2285635880,48
2285635880,75
2285645726,50
2285645726,66
2285611439,104
2285611439,126
2285661786,4
2285649204,4
2285661786,7
2285649204,87
2285649204,31
2285661786,31
2285649204,118
2285661786,118
2285661786,12
2285649204,1
2285649204,17
2285675675,22
2285655553,94
2285655553,86
2285675675,18
2285675675,118
2285675675,12
2285655553,76
2285675675,1
2285675675,17
2285644858,101
2285644858,72
2285644858,24
2285613982,161
2285661787,109
2285661787,50
2285603891,54
2285607300,194
2285645723,202
2285661342,47
2285661342,49
2285669636,237
2285661342,12
2285661342,3
2285659991,3
2285661342,69
2285659991,69
2285661342,75
2285661342,181
2285661342,50
2285665593,415
2285659990,147
2285649924,47
2285613180,354
2285650290,391
2285649924,18
2285649924,31
2285649924,12
2285656472,54
2285659990,410
2285650290,114
2285654403,279
2285654403,134
2285654403,92
2285673108,157
2285673108,154
2285667616,72
2285664786,126
2285613177,12
2285613177,1
2285613177,182
2285664786,410
2285613177,329
2285664786,24
2285616978,59
2285670915,153
2285616978,105
2285667624,75
2285655158,415
2285649194,51
2285649194,127
2285649194,181
2285649194,410
2285649194,24
2285598061,46
2285646227,286
2285635883,318
